Site;Latitude;Longitude;PS_plus_proche;Distance_km;
Garage Saint Pardoux;44.60861706304177; 0.3559815106332015;La Sauvetat-du-Dropt;4.645488;
Siège Clairac;44.360766111155485; 0.3771148222087088;Tonneins;3.780274;
Siège Carré Vert Clairac;44.360766111155485; 0.3771148222087088;Tonneins;3.780274;
Siège Végétal TDS Clairac;44.360766111155485; 0.3771148222087088;Tonneins;3.780274;
Tonneins Delta Sud;44.40429249754184; 0.2994746824267205;Tonneins;0.947836;
Boé;44.1806422956271; 0.6580007645766152;Boé;0.914918;
Montayral Pro;44.48389793880046; 0.9741974951677158;Fumel;2.725339;
La Réole GV;44.583508904280045; -0.07048291269432141;La Réole;3.216196;
Bergerac;44.84095508014692; 0.46506466859673923;Bergerac;1.710569;
Marmande Lisa;44.50795617054601; 0.1427908378652335;Marmande;2.152463;
Miramont de Guyenne;44.59900267033884; 0.3567338897840862;La Sauvetat-du-Dropt;5.694807;
Tonneins ZI;44.40255645540206; 0.3046827802106036;Tonneins;1.001689;
Tonneins Motoculture;44.40432797169456; 0.2986632439202845;Tonneins;0.980251;
Marmande Grand Sud;44.486910211102014; 0.17997185229282295;Marmande;1.167386;
Casteljaloux;44.3173863179694; 0.07979688650685789;Casteljaloux;1.206753;
Boé Motoculture;44.177281459838504; 0.6396691678365436;Boé;1.922195;
Colayrac;44.221810728690066; 0.5706734284889836;Le Passage;3.079861;
Marmande Motoculture (Innovert);44.51097771287561; 0.13642517173688273;Marmande;2.575240;
Villeneuve Glady;44.40561127876708; 0.6920748152989318;Villeneuve-sur-Lot;2.487703;
Villeneuve Marché Gare;44.394495728071945; 0.7264219336268399;Villeneuve-sur-Lot;0.904687;
Castillon la Bataille;44.85801036267924; -0.028156283014810043;Saint-Pey-d'Armens;7.463137;
Boé Gardes Gamm Vert;44.17683799994699; 0.6399514698950776;Boé;1.889251;
Podensac;44.65591271820659; -0.36719792396629225;Podensac;2.274976;
Aire sur Adour;43.703788283912615; -0.24802545619456193;Aire-sur-l'Adour;1.186779;
Grenade sur Adour;43.778410143498505; -0.43550942695416955;Bascons;6.280487;
Tartas;43.83285147429278; -0.8112331073289125;Audon;2.933561;
Laroque Timbaut;44.28278576289613; 0.7642595458918328;Villeneuve-sur-Lot;13.677074;
Montayral GV;44.48394587204266; 0.97417402247907;Fumel;2.720842;
Monflanquin;44.526672284425736; 0.7599871194028672;Cancon;9.072065;
Villereal;44.634881534183634; 0.7446712045794369;Doudrac;6.634400;
Sérignac sur Garonne;44.21089341626211; 0.49763597474179927;Bruch;6.567579;
Samazan (Annexe);44.433909097580965; 0.12167059723357147;Marmande;8.221887;
Samazan (Plateforme);44.43151792602489; 0.12708551070429713;Marmande;8.120764;
SCI de la Seoune;44.33462770983334; 1.013964474909557;Lauzerte;10.288196;
Soses Ma Sainte Bazeille;44.54450506986351; 0.09012844675409212;Marmande;7.101293;
Sosesma SA;44.54450506986351; 0.09012844675409212;Marmande;7.101293;
Damazan;44.29743071843522; 0.27604890122756875;Tonneins;7.534372;
Lagarrigue;44.29768871763765; 0.37329097091610014;Tonneins;6.960315;
