Site,Latitude,Longitude,PS_plus_proche,Distance_km,Unnamed: 5,PS_latitude,PS_longitude,Distance_calculee_km
Dépôt Sainte Livrade sur Lot Julia,44.39456658602275,0.593148108313063,Sainte-Livrade-sur-Lot,1.133207,,44.394676888901344,0.6073705539219958,1.13
Sud Production Lafox,44.16921657545848,0.6923442171180901,Boé,2.385764,,44.173251634914,0.6630444327021436,2.38
PA Monflanquin (Expalliance),44.538731337642034,0.7736529319267194,Cancon,10.089577,,44.53679385894234,0.6467341173080908,10.062
Saint Pierre de Clairac,44.17265169649369,0.737556405358555,Boé,5.959306,,44.173251634914,0.6630444327021436,5.943
PA Bazas,44.44668970909657,-0.2344759820548632,Bazas,3.903643,,44.41362896652908,-0.2178994378387507,3.905
Bureaux/Maintenance Gardes Tonneins,44.3897798975188,0.3186209413306469,Tonneins,2.626109,,44.41153818489076,0.305753537060125,2.627
TDS CE Boutx,,,,,,,,
Monsegur,44.64555547209258,0.066892181484821,Auriolles,11.338269,,44.7450061476583,0.0349261376019113,11.343
Lanouaille,45.38815489649573,1.1379072738321965,Saint-Martial-d'Albarède,9.762314,,45.329976904020576,1.044559211142276,9.749
Gardes Tonneins,44.3897798975188,0.3186209413306469,Tonneins,2.626109,,44.41153818489076,0.305753537060125,2.627
Cancon,44.53659713627984,0.6209444474718078,Cancon,2.049871,,44.53679385894234,0.6467341173080908,2.044
Castelmoron sur Lot (Site),44.40397146709465,0.4991047266439535,Sainte-Livrade-sur-Lot,8.686753,,44.394676888901344,0.6073705539219958,8.663
Tayrac,44.195357442041335,0.802632329227198,Valence,10.86681,,44.116532419178185,0.8830392018824986,10.861
Tonneins La Queille (Silo),44.40255645540206,0.3046827802106036,Tonneins,1.001689,,44.41153818489076,0.305753537060125,1.002
Saint Colomb de Lauzun,44.62752064975149,0.4645247685648485,La Sauvetat-du-Dropt,10.152044,,44.64885547076901,0.3401089863351944,10.126
Castillonnès,44.66319579882708,0.6016593372948059,Doudrac,5.37189,,44.66076459938722,0.6693072509329964,5.357
La Réole Frimont,44.583407739318346,-0.0754912641387362,La Réole,3.59938,,44.59253145291747,-0.0319999667526807,3.59
Nérac,44.15731349579836,0.3119354205825428,Nérac,1.477898,,44.14748166373991,0.3243770629010126,1.477
Castets en Dorthe,44.55836839553512,-0.1527427416749817,Langon,7.534405,,44.53564463296002,-0.2420726749784557,7.516
Saint Pardoux,44.60861706304177,0.3559815106332015,La Sauvetat-du-Dropt,4.645488,,44.64885547076901,0.3401089863351944,4.647
Tonneins La Queille (Site),44.40255645540206,0.3046827802106036,Tonneins,1.001689,,44.41153818489076,0.305753537060125,1.002
Coussan Marmande,44.48700827442575,0.1909044593881137,Marmande,0.306048,,44.486299794815935,0.1946223399658521,0.305
Duras,44.67988168081745,0.1923696321991864,La Sauvetat-du-Dropt,12.213339,,44.64885547076901,0.3401089863351944,12.183
Clairac,44.36427341396627,0.3826619027344288,Tonneins,4.31217,,44.352522775551215,0.3311109810946751,4.302
Damazan,44.29667861562006,0.274739882406496,Tonneins,7.663246,,44.352522775551215,0.3311109810946751,7.659
Pardaillan,44.64174743484252,0.262126086143956,La Sauvetat-du-Dropt,6.236744,,44.64885547076901,0.3401089863351944,6.22
Layrac Goulens,44.09844657778208,0.6574466630042387,Boé,8.324018,,44.173251634914,0.6630444327021436,8.33
Bouglon,44.4106118723036,0.1258273291494908,Casteljaloux,10.487274,,44.31889976434834,0.0947759714463629,10.492
Coursac,45.14202442274905,0.6777170674305937,Marsac-sur-l'Isle,5.627019,,45.191889723544485,0.6653063647227954,5.629
Castelmoron sur Lot (Silo),44.40397146709465,0.4991047266439535,Sainte-Livrade-sur-Lot,8.686753,,44.394676888901344,0.6073705539219958,8.663
Structure Op Fruit et Légume Marmande,44.511682772507946,0.1437488008384862,Marmande,1.98768,,44.513901608944,0.1685541667590634,1.982
Garage Saint Pardoux,44.60861706304177,0.3559815106332015,La Sauvetat-du-Dropt,4.645488,,44.64885547076901,0.3401089863351944,4.647
Siège Clairac,44.360766111155485,0.3771148222087088,Tonneins,3.780274,,44.352522775551215,0.3311109810946751,3.771
Siège Carré Vert Clairac,44.360766111155485,0.3771148222087088,Tonneins,3.780274,,44.352522775551215,0.3311109810946751,3.771
Siège Végétal TDS Clairac,44.360766111155485,0.3771148222087088,Tonneins,3.780274,,44.352522775551215,0.3311109810946751,3.771
Tonneins Delta Sud,44.40429249754184,0.2994746824267205,Tonneins,0.947836,,44.41153818489076,0.305753537060125,0.948
Boé,44.1806422956271,0.6580007645766152,Boé,0.914918,,44.173251634914,0.6630444327021436,0.915
Montayral Pro,44.48389793880046,0.9741974951677158,Fumel,2.725339,,44.49744623418871,0.9456370322754096,2.721
