Nom Commune;Latitude;Longitude
Saint-Pol-sur-Ternoise;50.38725060194668; 2.355144497748057
Marle;49.75093181767879; 3.767840653650705
Mont-de-Marsan;43.88448005033058; -0.4917613073586717
Frouard;48.77014418439359; 6.1355970815571625
Tournan-en-Brie;48.74875661319905; 2.766858772585646
Tivernon;48.161332504859026; 1.9214206297467131
Valdahon;47.144362289277595; 6.324657875567107
Tarnos;43.53449637525417; -1.4951114940533021
Ronchamp;47.69555917291448; 6.627179540964065
Bollène;44.28282918939316; 4.7371970493304065
Lasalle;44.04277039955114; 3.858839960751412
Chalon-sur-Saône;46.80664006475281; 4.85654427688419
Saint-Maurice-Navacelles;43.856259332133874; 3.558729462507184
Rebeuville;48.33815717142507; 5.695766000079091
Fougerolles-Saint-Valbert;47.9325565277143; 6.439299439023475
Lacaune;43.710081484033545; 2.6819257907487937
Caussade;44.16269639150717; 1.5312649972958547
Montauban;44.03848972838545; 1.3657399343825833
Pusy-et-Épenoux;47.65284669870939; 6.163635916736271
Guyancourt;48.79058708786603; 2.0610753203559637
Paris;48.87555978288252; 2.376022335108736
Bogny-sur-Meuse;49.860182640844926; 4.748857960390456
Gouville-sur-Mer;49.09363967777227; -1.5174255981646452
Vitré;48.12326184822418; -1.1829874099568047
Rives;45.36439716331118; 5.490993905169459
Vinay;45.207685246840406; 5.395849794394942
Voreppe;45.29300324897751; 5.627956938297421
Dunkerque;51.029131072252866; 2.382811081520166
Quevilloncourt;48.47552434474706; 6.097324200562545
Toulon;43.131414922254024; 5.964196383975114
Auch;43.65150907301879; 0.6051514212821419
Pamiers;43.1201147771889; 1.640827710190154
Coupvray;48.880832095668154; 2.7862348048599843
Reims;49.217411776689815; 4.018169818768357
Oiry;49.00875531613748; 4.034745514780946
Clermont-Ferrand;45.810470304410664; 3.1024372265973086
Saint-Avertin;47.34684672166259; 0.7288201023416574
Rousset;44.46956288556118; 6.267906073232051
Sisteron;44.213464861042056; 5.920944133790914
Saint-Marcellin;45.14558295671267; 5.308818246205432
Dégagnac;44.652219386108065; 1.3534077202802457
Nancy;48.6915571155865; 6.193935552959386
Poisy;45.93590159029264; 6.065949906780153
Aïcirits-Camou-Suhast;43.344466215126054; -1.0194866276863634
Perquie;43.88208416416893; -0.2643563112766206
Lille;50.62720708978758; 3.116887646439309
Rignac;44.793354315594605; 1.6994248466669246
Arvieu;44.18447147396814; 2.6653433248197334
Chalais;45.27480825356522; 0.046872355510781276
Culhat;45.86349526837398; 3.35673063806001
Ruffec;46.02632373859739; 0.18203689357855357
Châteaubernard;45.67796028988974; -0.32149903694479565
Bessey;45.38358354454471; 4.702387981490556
Annonay;45.2652172864152; 4.669042165803591
Beaurepaire;45.32583273890496; 5.054333348730885
Auzances;46.03344892905296; 2.5002125135833855
Bonnat;46.316439911523986; 1.8948572591272845
Carhaix-Plouguer;48.284618172002105; -3.55570714541965
Ouessant;48.45986243926684; -5.099160023736857
Valcanville;49.64936811176878; -1.341143883588468
Villaines-la-Juhel;48.33925318559528; -0.28062763928404527
La Chaussée-sur-Marne;48.83791850836696; 4.512079678387251
Haussimont;48.769089307739904; 4.201567940675078
Envermeu;49.90943932427456; 1.2557096013816156
Pau;43.29242617440309; -0.3606267816105963
Arreau;42.89920804192469; 0.3650541719929356
Montluçon;46.32079725991269; 2.604179001771753
Veuzain-sur-Loire;47.49331055147351; 1.1775499255629034
Saudrupt;48.704611061014965; 5.070678730625866
Ax-les-Thermes;42.71883665182878; 1.8413106874528926
Fontenay-sous-Bois;48.85648990592408; 2.4952927410542562
Meaux;48.94923655462478; 2.9282422147882565
Ussel;45.56425282390539; 2.312696948683807
Oyonnax;46.262004586303036; 5.648659081836721
Contault;48.91289381241022; 4.8053960380257
Erquy;48.60047017663826; -2.451826753390717
Saint-Lormel;48.52637602818268; -2.2325440172780597
Plourhan;48.6328519203846; -2.8927110494524944
Plusquellec;48.39482532020609; -3.4476168229965216
Béziers;43.32988214959327; 3.230015284139735
Pouilly-sur-Saône;47.01028076539167; 5.1193780403234745
Poiseul-la-Grange;47.58328653417952; 4.7920146895009
Longvic;47.280901189753926; 5.039199871064217
Champvans;47.098798395368654; 5.445444800273154
Ancenis-Saint-Géréon;47.37754809625476; -1.1807003538793848
La Baule-Escoublac;47.2891167555517; -2.3872050047581848
Carquefou;47.28499248094633; -1.478212177096699
Machecoul-Saint-Même;46.95812519421811; -1.833272072383045
Romorantin-Lanthenay;47.339601471298906; 1.7575668931468038
Sète;43.41331253830162; 3.694855162190752
Montbard;47.62092738419553; 4.323145398250631
Ploubezre;48.71871222135289; -3.4544631530190104
Bordeaux;44.83992924279312; -0.5772579316626582
Le Bouscat;44.869267231927715; -0.6127431386183488
Pontchâteau;47.43340915453851; -2.0987165758659807
Loriol-sur-Drôme;44.75762541252781; 4.819802876951822
Fontainebleau;48.43607380686666; 2.738496389351122
Quièvrecourt;49.72394979573489; 1.424415864469201
Yainville;49.459028305316814; 0.8226539834860976
Douvres-la-Délivrande;49.27691939481598; -0.3938216637613435
Damouzy;49.78875726980401; 4.674466741675412
Villers-Semeuse;49.75310247913449; 4.737525589096086
Hauteluce;45.77284347445205; 6.637906876617294
Beaufort;45.73075310748897; 6.5691336087223915
La Chapelle-du-Bard;45.43013546752465; 6.10021485788763
Villarembert;45.240470845037876; 6.270865968087444
Sentein;42.84118054362529; 0.9375313470538048
Caumont-sur-Aure;49.08918553484931; -0.8237224717889545
Saint-Côme-d'Olt;44.51883535378135; 2.7849171159156794
Brommat;44.77972319657718; 2.690264571938949
